edgeID	source	target	Weight
1	8795145	452924106574	2
2	8795145	7598247033332458827	1
3	8795145	521516289502072804238679	1
4	8795145	7018699909091385684	1
5	8795145	121413839418388394873939278	2
6	8795145	521427906626174262592847187455140180	1
7	8795145	32327230988850727375607391566	3
8	8795145	7596272323199656276	11
9	8795145	31371684177600855	26
10	8795145	29682834351677778	1
11	8795145	7236828769517008193	4
12	8795145	478628110676	1
13	8795145	1279346004	1
14	8795145	138296686755802182752756055	1
15	8793435	146759091242172238118479175	7
16	8793435	452924106574	18
17	8793435	31371684177600855	7
18	8793435	521516289502072804238679	2
19	8793435	7236828769517008193	2
20	8793435	121413839418388394873939278	3
21	8793435	7596272323199656276	1
22	8793435	7305241435264606551	11
23	8793435	9181985827721122774719632223016809432183380	1
24	8793435	32327230988850727375607391566	1
25	8793622	452924106574	5
26	8793622	31371684177600855	2
27	8793622	152058815170899676147300720056080425298	1
28	8793622	521516289502072804238679	4
29	8793622	34172319875386676345477549809538602132303	1
30	8793622	7236828769517008193	1
31	8793622	121413839418388394873939278	5
32	8793622	7305241435264606551	1
33	8793622	9181985827721122774719632223016809432183380	1
34	8793622	7596272323199656276	7
35	8794194	1702193486	1
36	8794194	452924106574	1
37	8794194	107105233887570	2
38	8794194	521516289502072804238679	1
39	8794194	34172319875386676345477549809538602132303	1
40	8794194	1634427208	15
41	8794194	121413839418388394873939278	2
42	8794194	7305241435264606551	2
43	8794194	9181985827721122774719632223016809432183380	1
44	8794194	7596272323199656276	2
45	8794459	31371684177600855	5
46	8794459	7021803873080729936	2
47	8794459	129104391790935	1
48	8794459	121413839418388394873939278	3
49	8794459	7307212902462354768	1
50	8794459	7236828769517008193	5
51	8794459	452924106574	5
52	8794459	7596272323199656276	4
53	8791947	31371684177600855	10
54	8791947	521516289502072804238679	1
55	8791947	121413839418388394873939278	2
56	8791947	7236828769517008193	5
57	8791947	32327230988850727375607391566	1
58	8791947	7596272323199656276	3
59	8794683	452924106574	11
60	8794683	31371684177600855	5
61	8794683	121413839418388394873939278	3
62	8794683	7236828769517008193	2
63	8794683	32327230988850727375607391566	1
64	8794683	1279346004	1
65	8794683	7596272323199656276	1
66	8793966	9063411663228251851049604309335	1
67	8793966	452924106574	2
68	8793966	31371684177600855	5
69	8793966	32306665193131823040923068483	1
70	8793966	521427906626174262592847187455140180	1
71	8793966	32327230988850727375607391566	2
72	8793966	7596272323199656276	7
73	8794499	31371684177600855	3
74	8794499	7236828769517008193	1
75	8794499	452924106574	2
76	8794499	129104391790935	1
77	8794499	7596272323199656276	7
78	8793986	478475809871	1
79	8793986	31371684177600855	1
80	8793986	2262519897861700774741656681799996645565752654	1
81	8793986	10579533551553999342517741853391785162466647	1
82	8793986	521516289502072804238679	1
83	8793986	129104391790935	1
84	8793986	121413839418388394873939278	4
85	8793986	7236828769517008193	2
86	8793986	27432206996762448	1
87	8793986	7596272323199656276	2
88	8794147	146759091242172238118479175	1
89	8794147	31371684177600855	2
90	8794147	521516289502072804238679	2
91	8794147	6382923	1
92	8794147	121413839418388394873939278	2
93	8794147	9181985827721122774719632223016809432183380	2
94	8794147	43562096849619737762035471215626783727297284812531022	1
95	8794147	7596272323199656276	2
96	8794655	452924106574	1
97	8794655	31371684177600855	9
98	8794655	121413839418388394873939278	2
99	8794655	521427906626174262592847187455140180	1
100	8794655	32327230988850727375607391566	1
101	8794655	7596272323199656276	1
102	8794639	121413839418388394873939278	1
103	8794639	31371684177600855	5
104	8794639	7236828769517008193	5
105	8794639	521516289502072804238679	1
106	8794639	7596272323199656276	3
107	8794686	31371684177600855	3
108	8794686	521516289502072804238679	1
109	8794686	121413839418388394873939278	3
110	8794686	7236828769517008193	1
111	8794686	32327230988850727375607391566	3
112	8794686	7596272323199656276	1
113	8792946	452924106574	1
114	8792946	31371684177600855	1
115	8792946	521516289502072804238679	1
116	8792946	7236828769517008193	3
117	8792946	121413839418388394873939278	2
118	8792946	521427906626174262592847187455140180	1
119	8792946	32327230988850727375607391566	4
120	8792946	7596272323199656276	4
121	8793950	452924106574	1
122	8793950	31371684177600855	1
123	8793950	521516289502072804238679	1
124	8793950	121413839418388394873939278	1
125	8793950	32327230988850727375607391566	5
126	8793950	7596272323199656276	3
127	8794492	9619395400920869231178854077765973480318606352010997584	1
128	8794492	121413839418388394873939278	10
129	8794492	146780325331434161852704682583098960582795024166723	1
130	8794492	1279346004	1
131	8794492	2341540494346399607479933985056078	1
132	8794207	121413839418388394873939278	1
133	8794207	478475809871	11
134	8794207	521516289502072804238679	3
135	8793972	121413839418388394873939278	12
136	8793972	1279346004	1
137	8794075	121413839418388394873939278	3
138	8794075	31371684177600855	3
139	8794075	7236828769517008193	1
140	8794075	478475809871	1
141	8794075	7596272323199656276	4
142	8793011	630416696994750085934537380840470838011085176357895361949511	1
143	8793011	7236828769517008193	2
144	8793011	121413839418388394873939278	2
145	8793011	521427906626174262592847187455140180	1
146	8793011	32327230988850727375607391566	5
147	8793011	7596272323199656276	4
148	8793350	1279346004	10
149	8793227	121413839418388394873939278	2
150	8793227	31371684177600855	2
151	8793227	7596272323199656276	3
152	8794983	121413839418388394873939278	2
153	8794983	8835223515737893907968545190589797797618007	1
154	8794983	478475809871	1
155	8794983	7596272323199656276	3
156	8794557	8606183314226767959	1
157	8794557	31371684177600855	1
158	8794557	504431471439	1
159	8794557	121413839418388394873939278	3
160	8794557	452924106574	1
161	8794557	129134121281876	1
162	8794557	7596272323199656276	3
163	8794652	31371684177600855	6
164	8794652	452924106574	1
165	8794652	7596272323199656276	1
166	8792906	1279346004	6
167	8795207	1279346004	5
168	8795207	6382923	1
169	8792441	7236828769517008193	2
170	8792441	121413839418388394873939278	1
171	8792441	31371684177600855	1
172	8792441	521427906626174262592847187455140180	1
173	8792441	452924106574	1
174	8794717	121413839418388394873939278	1
175	8794717	1768581446	6
176	8793071	7236828769517008193	3
177	8793071	121413839418388394873939278	3
178	8793071	521427906626174262592847187455140180	1
179	8793071	32327230988850727375607391566	2
180	8793071	7596272323199656276	1
181	8793853	121413839418388394873939278	2
182	8793853	521427906626174262592847187455140180	1
183	8793853	452924106574	2
184	8793853	7596272323199656276	3
185	8793949	31371684177600855	1
186	8793949	521427906626174262592847187455140180	1
187	8793949	452924106574	3
188	8793949	521516289502072804238679	2
189	8793949	7596272323199656276	2
190	8792294	1279346004	5
191	8794456	478475809871	3
192	8794456	33555442805960966414020275785	2
193	8794397	121413839418388394873939278	2
194	8794397	31371684177600855	1
195	8794397	7596272323199656276	1
196	8793063	1279346004	3
197	8793063	1767991375	1
198	8793132	121413839418388394873939278	3
199	8793132	32327230988850727375607391566	1
200	8793132	7596272323199656276	3
201	8793025	1279346004	4
202	8793299	1279346004	5
203	8795183	1279346004	5
204	8795183	6382923	1
205	8794958	1279346004	4
206	8793375	146759091242172238118479175	4
207	8793436	121413839418388394873939278	1
208	8793436	131075871984611147813513540	1
209	8793436	7236828769517008193	4
210	8793579	6911817	2
211	8793579	521516289502072804238679	1
212	8793579	6382923	1
213	8793390	1279346004	5
214	8792365	121413839418388394873939278	2
215	8792365	7596272323199656276	2
216	8792417	121413839418388394873939278	4
217	8792417	7596272323199656276	1
218	8792673	1279346004	3
219	8792694	1279346004	4
220	8794643	1365864021	1
221	8794643	6382923	2
222	8794663	1279346004	6
223	8792879	1279346004	3
224	8794797	1279346004	3
225	8794765	1279346004	3
226	8793718	1279346004	6
227	8793897	452924106574	5
228	8793658	121413839418388394873939278	1
229	8793658	452924106574	1
230	8793658	7596272323199656276	2
231	8793416	1279346004	2
232	8793416	1767991375	1
233	8793329	1279346004	3
234	8793530	1279346004	3
235	8793932	7305790108288971841	1
236	8793932	521516289502072804238679	2
237	8793944	1279346004	3
238	8793384	1279346004	4
239	8793558	1279346004	3
240	8792116	1279346004	3
241	8792646	121413839418388394873939278	6
242	8792657	2129690746452074391636	1
243	8792657	7305790108288971841	2
244	8794444	2129690746452074391636	1
245	8794444	1871512308989334675778	1
246	8794584	121413839418388394873939278	2
247	8794584	31371684177600855	1
248	8794584	32327230988850727375607391566	2
249	8794584	7596272323199656276	1
250	8794524	121413839418388394873939278	1
251	8794524	7596272323199656276	1
252	8793194	2129690746452074391636	1
253	8793194	7596272323199656276	1
254	8792910	1279346004	2
255	8792908	1279346004	2
256	8792956	7236828769517008193	3
257	8792999	2239690022757479276316904946625198358136644942	1
258	8792999	521516289502072804238679	1
259	8792999	33555442805960966414020275785	1
260	8792982	1279346004	3
261	8792972	121413839418388394873939278	2
262	8792972	478475809871	1
263	8792972	33555442805960966414020275785	1
264	8792855	138296686755802212884636741	1
265	8792855	28538242288608588	1
266	8793297	1279346004	3
267	8795045	2129690746452074391636	1
268	8795045	452924106574	1
269	8794772	121413839418388394873939278	2
270	8794772	31371684177600855	1
271	8794861	1279346004	2
272	8794861	521516289502072804238679	2
273	8795352	1279346004	5
274	8795352	521516289502072804238679	2
275	8795351	1279346004	2
276	8795351	593978635741898791524456323194054999	1
