edgeID	source	target	weight
1	12781368	27432207097556818	1
2	12781368	177398133454473681379012942941584842623990938825807	1
3	12781368	2239690022757479276316904946641524666860986690	1
4	12781368	11151896742299616132064338558662210989058678472659657042	1
5	12781368	478475809871	6
6	12781368	7236828769517008193	1
7	12781368	121413839418388394873939278	1
8	12781368	521516289502072804238679	1
9	12781368	31078127357556036	2
10	12781368	1926853119662446965319	1
11	12781368	32306665193131823040923068483	1
12	12807395	521516289502072804238679	15
13	12790326	28538242288608588	1
14	12790326	6382923	9
15	12774103	6382923	10
16	12781627	7236828769517008193	1
17	12781627	121413839418388394873939278	2
18	12781627	28556934444048727	5
19	12824112	32306665193131823040923068483	1
20	12824112	9146642598505027165216713109328	1
21	12824112	129134121279823	1
22	12824112	7236828769517008193	1
23	12824112	121413839418388394873939278	3
24	12824112	521516289502072804238679	1
25	12813665	1702193486	1
26	12813665	121413839418388394873939278	6
27	12813665	521516289502072804238679	1
28	12824757	7236828769517008193	1
29	12824757	31078127357556036	1
30	12824757	121413839418388394873939278	3
31	12824757	43562096849619737762035471215626783727297284812531022	1
32	12824757	521516289502072804238679	3
33	12796592	521516289502072804238679	11
34	12780836	7236828769517008193	1
35	12780836	121413839418388394873939278	7
36	12780836	521516289502072804238679	1
37	12793859	28556934444048727	1
38	12793859	121413839418388394873939278	4
39	12793859	521516289502072804238679	2
40	12789682	27432207097556818	1
41	12789682	452924106574	1
42	12789682	7598820995073336660	1
43	12789682	1634427208	1
44	12789682	121413839418388394873939278	1
45	12789682	478628110676	1
46	12789682	521516289502072804238679	1
47	12796220	521516289502072804238679	11
48	12813624	7236828769517008193	2
49	12813624	31081942892396521018577022798	1
50	12813624	121413839418388394873939278	5
51	12813624	43562096849619737762035471215626783727297284812531022	1
52	12813624	521516289502072804238679	2
53	12786176	7236828769517008193	2
54	12786176	9146642598505027165216713109328	1
55	12786176	121413839418388394873939278	3
56	12786176	521516289502072804238679	2
57	12818834	28538242288608588	1
58	12818834	6382923	5
59	12810385	7236828769517008193	1
60	12810385	121413839418388394873939278	5
61	12787345	32306665193131823040923068483	1
62	12787345	31078127357556036	1
63	12787345	121413839418388394873939278	1
64	12787345	7236828769517008193	1
65	12787345	33555442805960966414020275785	1
66	12787345	521516289502072804238679	1
67	12817048	521516289502072804238679	6
68	12801898	521516289502072804238679	6
69	12795684	478475809871	1
70	12795684	7236828769517008193	4
71	12795684	31078127357556036	1
72	12795684	521516289502072804238679	1
73	12805168	121413839418388394873939278	2
74	12805168	27414593201660235	4
75	12805168	521516289502072804238679	1
76	12784445	121413839418388394873939278	6
77	12784445	9620768812034593898263432752725	3
78	12786389	7236828769517008193	1
79	12786389	31078127357556036	1
80	12786389	121413839418388394873939278	3
81	12786389	521516289502072804238679	1
82	12794828	107105233887570	4
83	12794828	121413839418388394873939278	2
84	12794828	521516289502072804238679	1
85	12800617	1871074917823339915351	1
86	12800617	7236828769517008193	1
87	12800617	121413839418388394873939278	2
88	12800617	107105233887570	1
89	12800617	28556934444048727	1
90	12793359	7236828769517008193	2
91	12793359	121413839418388394873939278	1
92	12793359	521516289502072804238679	2
93	12796611	27432207097556818	1
94	12796611	7236828769517008193	1
95	12796611	121413839418388394873939278	1
96	12796611	129134121281876	1
97	12796611	521516289502072804238679	1
98	12806590	2261036952603089495941972489079910537104351555	1
99	12806590	7021797267521560914	1
100	12806590	2239690022757479276316904946641524666860986690	1
101	12806590	121413839418388394873939278	1
102	12806590	521516289502072804238679	1
103	12775691	7236828769517008193	2
104	12775691	2239690022757479276316904946641524666860986690	1
105	12775691	121413839418388394873939278	1
106	12775691	521516289502072804238679	1
107	12773409	630416696994750085934537380840470838011085176357895361949511	1
108	12773409	121413839418388394873939278	4
109	12773499	521516289502072804238679	5
110	12772890	7236828769517008193	1
111	12772890	121413839418388394873939278	1
112	12772890	521516289502072804238679	3
113	12773660	1944218139981540059223	2
114	12773660	7236828769517008193	1
115	12773660	121413839418388394873939278	1
116	12773660	521516289502072804238679	1
117	12823331	121413839418388394873939278	5
118	12824139	521516289502072804238679	5
119	12822431	121413839418388394873939278	4
120	12822431	521516289502072804238679	1
121	12800451	31081942892396521018577022798	1
122	12800451	121413839418388394873939278	1
123	12800451	521516289502072804238679	1
124	12800451	31078127357556036	1
125	12800451	32306665193131823040923068483	1
126	12785535	9146642598505027165216713109328	1
127	12785535	121413839418388394873939278	2
128	12785535	521516289502072804238679	2
129	12785027	7236828769517008193	1
130	12785027	28556934444048727	1
131	12785027	121413839418388394873939278	2
132	12785027	521516289502072804238679	1
133	12814092	121413839418388394873939278	4
134	12814092	521516289502072804238679	1
135	12804977	1279346004	5
136	12804853	478628110676	1
137	12804853	31078127357556036	1
138	12804853	121413839418388394873939278	1
139	12804853	1926853119662446965319	1
140	12804853	521516289502072804238679	1
141	12802228	2341540494346399607479933985056078	1
142	12802228	121413839418388394873939278	2
143	12802228	27414593201660235	1
144	12802228	521516289502072804238679	1
145	12824522	7236828769517008193	1
146	12824522	31078127357556036	1
147	12824522	121413839418388394873939278	2
148	12824522	521516289502072804238679	2
149	12801208	7236828769517008193	1
150	12801208	9146642598505027165216713109328	1
151	12801208	121413839418388394873939278	4
152	12801208	521516289502072804238679	3
153	12792168	121413839418388394873939278	5
154	12792168	521516289502072804238679	2
155	12799264	7236828769517008193	1
156	12799264	33555442805960966414020275785	1
157	12799264	129134121281876	2
158	12799264	521516289502072804238679	2
159	12818994	107105233887570	1
160	12818994	478475809871	1
161	12818994	121413839418388394873939278	1
162	12818994	521516289502072804238679	2
163	12798443	2360635736406004088704214730629463	1
164	12798443	121413839418388394873939278	2
165	12798443	521516289502072804238679	2
166	12799829	7236828769517008193	1
167	12799829	9146642598505027165216713109328	1
168	12799829	28556934444048727	1
169	12799829	521516289502072804238679	2
170	12797943	9620768812034593898263432752725	2
171	12797943	122528461447499	3
172	12810612	1871074917823339915351	4
173	12810612	121413839418388394873939278	2
174	12778906	31078127357556036	1
175	12778906	121413839418388394873939278	1
176	12778906	521516289502072804238679	2
177	12779313	121413839418388394873939278	2
178	12779313	521516289502072804238679	2
179	12794430	121413839418388394873939278	2
180	12794430	521516289502072804238679	1
181	12794430	32306665193131823040923068483	1
182	12796625	121413839418388394873939278	2
183	12796625	521516289502072804238679	2
184	12793870	31078127357556036	1
185	12793870	121413839418388394873939278	2
186	12793870	521516289502072804238679	1
187	12808029	28538242288608588	1
188	12808029	121413839418388394873939278	1
189	12808029	521516289502072804238679	1
190	12808029	32306665193131823040923068483	1
191	12806874	29672973223817295	1
192	12806874	540221432639852612185933	1
193	12806874	121413839418388394873939278	1
194	12806874	521516289502072804238679	1
195	12820207	478475809871	1
196	12820207	31078127357556036	2
197	12820207	121413839418388394873939278	1
198	12818265	7236828769517008193	1
199	12818265	121413839418388394873939278	2
200	12818265	521516289502072804238679	1
201	12788346	7236828769517008193	1
202	12788346	121413839418388394873939278	1
203	12788346	7596272323199656276	1
204	12788346	521516289502072804238679	1
205	12788027	31084793162982738	1
206	12788027	9622635179572407404248688719169	1
207	12788027	121413839418388394873939278	1
208	12788027	521516289502072804238679	1
209	12775426	478475809871	1
210	12775426	121413839418388394873939278	3
211	12776825	121413839418388394873939278	2
212	12776825	521516289502072804238679	2
213	12777099	121413839418388394873939278	4
214	12774311	121413839418388394873939278	1
215	12774311	129134121279823	2
216	12774311	521516289502072804238679	1
217	12812394	6382923	3
218	12812394	521516289502072804238679	1
219	12823324	7236828769517008193	1
220	12823324	121413839418388394873939278	1
221	12823324	521516289502072804238679	2
222	12797891	121413839418388394873939278	1
223	12797891	146759091242172238118479175	3
224	12798748	7236828769517008193	1
225	12798748	9146642598505027165216713109328	1
226	12798748	121413839418388394873939278	1
227	12798748	478475809871	1
228	12782937	121413839418388394873939278	3
229	12782937	521516289502072804238679	1
230	12814290	31078127357556036	1
231	12814290	121413839418388394873939278	2
232	12814290	32306665193131823040923068483	1
233	12815282	599151124940901275683866982924511299	1
234	12815282	121413839418388394873939278	2
235	12815282	521516289502072804238679	1
236	12801930	6382923	1
237	12801930	121413839418388394873939278	1
238	12801930	7019820392892821320	1
239	12801930	521516289502072804238679	1
240	12802465	121413839418388394873939278	2
241	12802465	129134121279823	1
242	12802465	521516289502072804238679	1
243	12803285	549589403741468145774159	1
244	12803285	1279346004	3
245	12802830	7236828769517008193	1
246	12802830	31078127357556036	1
247	12802830	121413839418388394873939278	1
248	12802830	521516289502072804238679	1
249	12817311	7236828769517008193	1
250	12817311	121413839418388394873939278	2
251	12817311	107105233887570	3
252	12797399	28556934444048727	1
253	12797399	9146642598505027165216713109328	1
254	12797399	9620768812034593898263432752725	1
255	12797399	478475809871	1
256	12797399	2341540494346399607479933985056078	1
257	12797399	121413839418388394873939278	3
258	12797399	31078127357556036	1
259	12787011	7236828769517008193	2
260	12787011	9146642598505027165216713109328	1
261	12787011	7018699909091385684	1
262	12787011	521516289502072804238679	1
263	12787740	31078127357556036	2
264	12787740	121413839418388394873939278	2
265	12787740	521516289502072804238679	1
266	12808890	7236828769517008193	2
267	12808890	121413839418388394873939278	1
268	12808890	9620768812034593898263432752725	1
269	12808890	521516289502072804238679	1
270	12803314	7236828769517008193	1
271	12803314	31078127357556036	1
272	12803314	121413839418388394873939278	1
273	12803314	521516289502072804238679	2
274	12799767	7236828769517008193	1
275	12799767	31078127357556036	1
276	12799767	129134121279823	1
277	12799767	1926853119662446965319	2
278	12784093	31078127357556036	3
279	12784093	121413839418388394873939278	2
280	12784093	521516289502072804238679	2
281	12816980	31078127357556036	3
282	12816980	121413839418388394873939278	1
283	12816980	7957001572543770101505743153485	1
284	12816980	9620768812034593898263432752725	1
285	12787478	1871074917823339915351	4
286	12787478	121413839418388394873939278	1
287	12819680	121413839418388394873939278	2
288	12819680	521516289502072804238679	2
289	12814225	7236828769517008193	1
290	12814225	31081942892396521018577022798	1
291	12814225	121413839418388394873939278	1
292	12814225	36042231788662766205520736082	1
293	12814225	521516289502072804238679	1
294	12789154	121413839418388394873939278	3
295	12789154	521516289502072804238679	1
296	12798733	121413839418388394873939278	3
297	12798733	521516289502072804238679	1
298	12787831	1365864021	1
299	12787831	121413839418388394873939278	1
300	12787831	521516289502072804238679	4
301	12814842	121413839418388394873939278	1
302	12814842	521516289502072804238679	2
303	12814842	32306665193131823040923068483	1
304	12805188	1871074917823339915351	1
305	12805188	28556934444048727	1
306	12805188	121413839418388394873939278	2
307	12798933	7236828769517008193	2
308	12798933	121413839418388394873939278	2
309	12798933	31698588819228417890708709704	1
310	12798933	9620768812034593898263432752725	1
311	12786692	1871074917823339915351	1
312	12786692	121413839418388394873939278	1
313	12786692	521516289502072804238679	2
314	12781899	28556934444048727	4
315	12781899	121413839418388394873939278	1
316	12784483	121413839418388394873939278	3
317	12784483	521516289502072804238679	2
318	12801922	31081942892396521018577022798	1
319	12801922	121413839418388394873939278	3
320	12824711	7236828769517008193	1
321	12824711	36042231788662766205520736082	1
322	12824711	521516289502072804238679	2
323	12805719	7236828769517008193	2
324	12805719	121413839418388394873939278	1
325	12805719	521516289502072804238679	1
326	12777925	33555442805960966414020275785	1
327	12777925	121413839418388394873939278	4
328	12819293	7236828769517008193	1
329	12819293	2239890452312823612721092601538898	1
330	12819293	121413839418388394873939278	4
331	12819293	521516289502072804238679	2
332	12788834	121413839418388394873939278	4
333	12788834	521516289502072804238679	1
334	12775402	478475809871	1
335	12775402	121413839418388394873939278	3
336	12775402	521516289502072804238679	1
337	12791949	121413839418388394873939278	3
338	12791949	521516289502072804238679	1
339	12803985	478628110676	1
340	12803985	121413839418388394873939278	2
341	12803985	521516289502072804238679	1
342	12804154	121413839418388394873939278	1
343	12804154	521516289502072804238679	3
344	12780792	2341540494346399607479933985056078	1
345	12780792	121413839418388394873939278	1
346	12780792	521516289502072804238679	1
347	12779147	121413839418388394873939278	2
348	12779147	521516289502072804238679	1
349	12794857	594303708590444584409119261706510667	1
350	12794857	121413839418388394873939278	1
351	12794857	7236828769517008193	1
352	12796180	121413839418388394873939278	2
353	12796180	521516289502072804238679	1
354	12793072	121413839418388394873939278	1
355	12793072	39267292320158004444584426516734082643023	1
356	12793072	521516289502072804238679	1
357	12793953	121413839418388394873939278	2
358	12793953	521516289502072804238679	1
359	12792250	121413839418388394873939278	3
360	12797135	121413839418388394873939278	2
361	12797135	521516289502072804238679	1
362	12794216	7236828769517008193	1
363	12794216	121413839418388394873939278	1
364	12794216	521516289502072804238679	1
365	12793228	9146642598505027165216713109328	1
366	12793228	121413839418388394873939278	1
367	12793228	521516289502072804238679	1
368	12797337	121413839418388394873939278	2
369	12797337	521516289502072804238679	1
