id	label	nodeType
8795145	NEW ZEALAND. LATEST FEOM THE SEAT OF WAR. ARRIVAL OF REINFORCEMENTS.	trove
8793435	THE MAORI INSURRECTION.	trove
8793622	THE WAR IN NEW ZEALAND	trove
8794194	ARCHDEACON HADFIELD AND THE MAORIES.	trove
8794459	NEW ZEALAND. AUCKLAND.	trove
8791947	NEW ZEALAND.	trove
8794683	FURTHER PARTICULARS FROM NEW ZEALAND. THE BATTLE OF MAHOETAHI. (S. M. HERALD.)	trove
8793966	THE EXPEDITION UNDER COLONEL LESLIE.	trove
8794499	THE WAR IN NEW ZEALAND.	trove
8793986	NEW ZEALAND. BISHOP SELWIN'S PROTEST.	trove
8794147	THE MAORI'S CASE STATED.	trove
8794655	THE WAR IN NEW ZEALAND. BATTLE OF MAHOETAHL-DEFEAT OF THE WAIKATOS. (From the Sydney Morning Herald, Nov. 20.)	trove
8794639	NEW ZEALAND. THE BATTLE OF MAHOETAI.	trove
8794686	THE NEW ZEALAND WAR. TO THE EDITOR OF THE ARGUS.	trove
8792946	NEW ZEALAND.	trove
8793950	NEW ZEALAND.	trove
8794492	NEW ZEALAND. [TIMES,]	trove
8794207	MISCELLANEOUS SHIPPING.	trove
8793972	THE NEW ZEALAND BILL. [FROM THE TIMES.]	trove
8794075	NEW ZEALAND.	trove
8793011	THE WAR IN NEW ZEALAND.	trove
8793350	POLICE OFFICE. MONDAY —October 1st, 1860.	trove
8793227	THE WAR IN NEW ZEALAND. TO THE EDITOR OF THE MERCURY.	trove
8794983	NEW ZEALAND.	trove
8794557	NEW ZEALAND.	trove
8794652	FURTHER PARTICULARS.	trove
8792906	COUNTRY DISTRICTS. [FROM OUR CORRESPONDENT.] OATLANDS POLICE OFFICE.	trove
8795207	POLICE OFFICE. MONDAY.—24th Dec. 1860.	trove
8792441	THE WAR IN NEW ZEALAND. THE BATTLE OF PUKETAKAUERE. [SOUTHERN CROSS.]	trove
8794717	BRITISH SOVEREIGNTY IN THE FIJIS [SYDNEY MORNING HERALD]	trove
8793071	DISASTROUS INTELLIGENCE FROM NEW ZEALAND.	trove
8793853	THE NEW ZEALAND WAR.	trove
8793949	CONTINUATION OF JOURNAL OF EVENTS. SEPTEMBER 29 TO OCTOBER 12. [FROM THE TARANAKI HERALD.]	trove
8792294	POLICE COURT. MONDAY.	trove
8794456	OTAGO.	trove
8794397	LATER FROM NEW ZEALAND.	trove
8793063	POLICE OFFICE. FRIDAY, 14TH SEPTEBMER, 1860. BEFORE W. Tarleton, Esq., J. P.	trove
8793132	THE WAR IN NEW ZEALAND.	trove
8793025	POLICE OFFICE. WEDNESDAY,—12th September, 1860.	trove
8793299	POLICE OFFICE. THURSDAY—SEPTEMBER 27TH, 1860.	trove
8795183	POLICE OFFICE, Saturday.—21st Dec. 1860.	trove
8794958	POLICE OFFICE. WEDNESDAY, 12TH DECEMBER, 1860.	trove
