id	label	nodeType
12781368	NEW ZEALAND. WELLINGTON, February 19.	trove
12807395	FOOTBALL. WELLINGTON V. LEFROY.	trove
12790326	SPORTING. SORELL RACING CLUB.	trove
12774103	KING'S ISLAND NEW YEAR'S D[?]Y MEET.	trove
12781627	ARRIVAL OF THE S.S. WAIMATE.	trove
12824112	NEW ZEALAND. WELLINGTON, December 18.	trove
12813665	NEW ZEALAND. A COMING NATION. WELLINGTON, Saturday.	trove
12824757	NEW ZEALAND. WELLINGTON, Friday.	trove
12796592	FOOTBALL. WELLINGTON V. NORTH HOBART.	trove
12780836	NEW ZEALAND. WELLINGTON, MONDAY.	trove
12793859	NEW ZEALAND. WELLINGTON, Wednesday.	trove
12789682	"INTERESTING MAORI CEREMONY. (""Age"" Correspondent.) WELLINGTON, March 31."	trove
12796220	FOOTBALL. LEFROY V. WELLINGTON.	trove
12813624	NEW ZEALAND.	trove
12786176	NEW ZEALAND. WELLINGTON, March l8.	trove
12818834	SORELL RACE CLUB.	trove
12810385	MODEL LEGISLATION.	trove
12787345	NEW ZEALAND. WELLINGTON, March 25.	trove
12817048	CRICKET. SATURDAY'S MATCHES. WELLINGTON V. BREAK o' DAY. A WIN FOR WELLINGTON. EADY, THREE WICKETS FOR FOUR RUNS. DODDS, TWO WICKETS FOR EIGHT.	trove
12801898	FOOTBALL.	trove
12795684	NEW ZEALAND. WELLINGTON, May 16.	trove
12805168	ARRIVAL OF THE KARAMEA.	trove
12784445	BUBONIC PLAGUE RESTRICTIONS. INTERFERING WITH TRADE.	trove
12786389	NEW ZEALAND. WELLINGTON, Thursday.	trove
12794828	ARRIVAL OF THE RAKAIA.	trove
12800617	LONDON AND CAPE STEAMERS.	trove
12793359	NEW ZEALAND. WELLINGTON, Monday.	trove
12796611	NEW ZEALAND. WELLINGTON, May 24.	trove
12806590	NEW ZEALAND. BANK ROBBERY. MANAGER AND TELLER ARRESTED. WELLINGTON, Monday.	trove
12775691	NEW ZEALAND. TERRIBLE STORM ON AMERICAN COAST. SAD SHIPPING DISASTERS. WELLINGTON, FRIDAY.	trove
12773409	THE EFFECT OF NEW ZEALAND MINING LEGISLATION.	trove
12773499	CRICKET. BREAK O'DAY v. WELLINGTON. WELLINGTON, 366 FOR SEVEN WICKETS. KENNY BURN, 213 NOT OUT.	trove
12772890	NEW ZEALAND. WELLINGTON, WEDNESDAY.	trove
12773660	NEW ZEALAND. WELLINGTON, MONDAY.	trove
12823331	"THE BLESSINGS OF NEW ZEALAND. To the Editor of ""The Mercury."""	trove
12824139	CRICKET. BREAK O' DAY V. WELLINGTON. EADY MAKES 102. WELLINGTON ONE RUN AHEAD IN FIRST INNINGS.	trove
12822431	NEW ZEALAND. WELLINGTON, Sunday.	trove
12800451	NEW ZEALAND. WELLINGTON, June l8.	trove
12785535	NEW ZEALAND. WELLINGTON, Sunday.	trove
12785027	NEW ZEALAND. WELLINGTON, THURSDAY.	trove
12814092	NEW ZEALAND. WELLINGTON, Tuesday.	trove
12804977	SUPREME COURT. TUESDAY, JULY 24. CRIMINAL SESSION. FIRST COURT.	trove
12804853	NEW ZEALAND. WELLINGTON, Monday.	trove
12802228	NEW ZEALAND. WELLINGTON, Tuesday.	trove
12824522	NEW ZEALAND. WELLINGTON, Thursday.	trove
12801208	NEW ZEALAND. WELLINGTON, Monday.	trove
12792168	NEW ZEALAND. WELLINGTON, April 25.	trove
12799264	SHIPPING NEWS.	trove
12818994	NEW ZEALAND. WELLINGTON, November 6.	trove
12798443	NEW ZEALAND. WELLINGTON, June 1.	trove
12799829	SHIPPING NEWS.	trove
12797943	THE STRANDED KAKAPO.	trove
12810612	ARRIVAL OF THE S.S. WHAKATANE.	trove
